domain,reason,details,browser_accessible
sonepar.com.sg,dns,"HTTPSConnectionPool(host='sonepar.com.sg', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D252F90>: Failed to resolve 'sonepar.com.sg' ([Errno 11001] getaddrinfo failed)""))",no
sekulin-allianz.de,other-http,HTTP 200,maybe
toyota-montluel.fr,connection-error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",no
dci.co.th,dns,"HTTPSConnectionPool(host='dci.co.th', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D2416D0>: Failed to resolve 'dci.co.th' ([Errno 11001] getaddrinfo failed)""))",no
goliathgames.es,other-http,HTTP 200,maybe
fmc-symposium.cz,connection-error,"HTTPSConnectionPool(host='fmc-symposium.cz', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000002651D242790>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",no
nissanofgardencity.com,blocked-bot-waf,HTTP 403 Forbidden,yes
mazda.com.kh,dns,"HTTPSConnectionPool(host='mazda.com.kh', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D261B10>: Failed to resolve 'mazda.com.kh' ([Errno 11002] getaddrinfo failed)""))",no
toyota-chartres.fr,connection-error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",no
avis-taiwan.com,connection-error,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",no
metlife.com.uy,dns,"HTTPSConnectionPool(host='metlife.com.uy', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D250710>: Failed to resolve 'metlife.com.uy' ([Errno 11001] getaddrinfo failed)""))",no
thebodyshop.com.br,dns,"HTTPSConnectionPool(host='www.thebodyshop.com.br', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D2430D0>: Failed to resolve 'www.thebodyshop.com.br' ([Errno 11001] getaddrinfo failed)""))",no
wurth.co.ke,timeout,"HTTPSConnectionPool(host='wurth.co.ke', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D1AAC50>, 'Connection to wurth.co.ke timed out. (connect timeout=8)'))",no
renaultmonterrey.com,blocked-bot-waf,Cloudflare 403,yes
weidner.ca,blocked-bot-waf,Cloudflare 403,yes
aiesec.org.es,timeout,"HTTPSConnectionPool(host='aiesec.org.es', port=443): Read timed out. (read timeout=8)",no
trulynolenparaiba.com.br,other-http,HTTP 200,maybe
mazdaofconshohocken.com,ssl,"HTTPSConnectionPool(host='mazdaofconshohocken.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'mazdaofconshohocken.com'. (_ssl.c:992)"")))",no
infiniti.com.tw,ssl,"HTTPSConnectionPool(host='infiniti.com.tw', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'infiniti.com.tw'. (_ssl.c:992)"")))",no
extremeadventureraces.com,ssl,"HTTPSConnectionPool(host='www.runningadventureoutdoor.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
norauto.com,other-http,HTTP 200,maybe
isover.lv,blocked-bot-waf,HTTP 403 Forbidden,yes
pepsico.com.pk,blocked-bot-waf,robots noindex found,yes
renault-chihuahua.com,blocked-bot-waf,Cloudflare 403,yes
duracell.es,ssl,"HTTPSConnectionPool(host='duracell.es', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
acuraofwappingersfalls.com,blocked-bot-waf,Cloudflare 403,yes
isover.com.ar,blocked-bot-waf,HTTP 403 Forbidden,yes
atalian.sg,blocked-bot-waf,robots noindex found,yes
subarumidlandodessa.com,other-http,HTTP 200,maybe
msd-animal-health.es,ssl,"HTTPSConnectionPool(host='msd-animal-health.es', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'msd-animal-health.es'. (_ssl.c:992)"")))",no
path-solutions.com,timeout,"HTTPSConnectionPool(host='path-solutions.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D243D90>, 'Connection to path-solutions.com timed out. (connect timeout=8)'))",no
wwf.org.nz,blocked-bot-waf,Cloudflare 403,yes
tupperware.com.vn,ssl,"HTTPSConnectionPool(host='tupperware.com.vn', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:992)')))",no
zkteco.com.pk,ssl,"HTTPSConnectionPool(host='zkteco.com.pk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'zkteco.com.pk'. (_ssl.c:992)"")))",no
digilite.com.au,blocked-bot-waf,HTTP 403 Forbidden,yes
mazdaofalexandria.com,other-http,HTTP 405,maybe
aquatherm-belux.be,other-http,HTTP 200,maybe
dmcihomes.jp,ssl,"HTTPSConnectionPool(host='dmcihomes.jp', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:992)')))",no
aeccglobal.co.th,other-http,HTTP 200,maybe
kiamotors.com.co,unexpected-html,200 OK but suspiciously short (250 bytes),maybe
renaultpatriotismo.com.mx,blocked-bot-waf,Cloudflare 403,yes
manpower.co.za,blocked-bot-waf,Cloudflare 403,yes
allianz-sebastiankoch.de,other-http,HTTP 200,maybe
trulynolencampogrande.com.br,other-http,HTTP 200,maybe
aamcogreensburgpa.com,timeout,"HTTPSConnectionPool(host='aamcogreensburgpa.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D1F0090>, 'Connection to aamcogreensburgpa.com timed out. (connect timeout=8)'))",no
pkfcemac.com,other-http,HTTP 200,maybe
orbico.com.mk,other-http,HTTP 200,maybe
lghealthjobs.org,dns,"HTTPSConnectionPool(host='lghealthjobs.org', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D243090>: Failed to resolve 'lghealthjobs.org' ([Errno 11002] getaddrinfo failed)""))",no
renaulttepic.mx,blocked-bot-waf,Cloudflare 403,yes
einhell.pl,other-http,HTTP 200,maybe
duracell.pl,ssl,"HTTPSConnectionPool(host='duracell.pl', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
allianz-reiseschutz.de,blocked-bot-waf,HTTP 403 Forbidden,yes
rinnai.com.tw,dns,"HTTPSConnectionPool(host='rinnai.com.tw', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D1BB150>: Failed to resolve 'rinnai.com.tw' ([Errno 11001] getaddrinfo failed)""))",no
aiesec.gr,other-http,HTTP 200,maybe
linexranchocordova.com,not-found,HTTP 404,yes
starbucks.com.gr,other-http,HTTP 200,maybe
isover.fi,blocked-bot-waf,HTTP 403 Forbidden,yes
mazdaofnewrochelle.com,blocked-bot-waf,Cloudflare 403,yes
cleansui-usa.com,not-found,HTTP 404,yes
budgetqatar.com,dns,"HTTPSConnectionPool(host='budgetqatar.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D1C9BD0>: Failed to resolve 'budgetqatar.com' ([Errno 11001] getaddrinfo failed)""))",no
svnnc.com,timeout,"HTTPSConnectionPool(host='svnnc.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D1B3150>, 'Connection to svnnc.com timed out. (connect timeout=8)'))",no
chicco.com.tr,ssl,"HTTPSConnectionPool(host='chicco.com.tr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:992)')))",no
allianz.sg,blocked-bot-waf,HTTP 403 Forbidden,yes
pepsico.com.co,blocked-bot-waf,robots noindex found,yes
pepsico.fr,blocked-bot-waf,robots noindex found,yes
designpluz.com,other-http,HTTP 200,maybe
vwswestgarth.com,ssl,"HTTPSConnectionPool(host='vwswestgarth.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')))",no
mitsubishielectricmalaysia.com,ssl,"HTTPSConnectionPool(host='mitsubishielectricmalaysia.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'mitsubishielectricmalaysia.com'. (_ssl.c:992)"")))",no
acuraofpeabody.com,other-http,HTTP 405,maybe
eis.com.tr,other-http,HTTP 200,maybe
starkey.com.br,ssl,"HTTPSConnectionPool(host='starkey.com.br', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
siiora.org,other-http,HTTP 200,maybe
mazdaofwooster.com,other-http,HTTP 405,maybe
medef-ardennes.com,ssl,"HTTPSConnectionPool(host='medef-ardennes.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
intersport.nl,other-http,HTTP 200,maybe
cfmotoindia.com,ssl,"HTTPSConnectionPool(host='cfmotoindia.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:992)')))",no
cdlvitoria.com.br,other-http,HTTP 200,maybe
hsbcsaudi.com,ssl,"HTTPSConnectionPool(host='hsbcsaudi.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'hsbcsaudi.com'. (_ssl.c:992)"")))",no
countryroadsford.net,other-http,HTTP 405,maybe
shimadzu-techno.co.jp,dns,"HTTPSConnectionPool(host='shimadzu-techno.co.jp', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D260D10>: Failed to resolve 'shimadzu-techno.co.jp' ([Errno 11001] getaddrinfo failed)""))",no
hyundaiofchatham.ca,timeout,"HTTPSConnectionPool(host='hyundaiofchatham.ca', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D248DD0>, 'Connection to hyundaiofchatham.ca timed out. (connect timeout=8)'))",no
toyota-niederberger.at,blocked-bot-waf,robots noindex found,yes
chubblifefund.com.vn,ssl,"HTTPSConnectionPool(host='chubblifefund.com.vn', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:992)')))",no
crocs.com.ec,timeout,"HTTPSConnectionPool(host='crocs.com.ec', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D253AD0>, 'Connection to crocs.com.ec timed out. (connect timeout=8)'))",no
astrazeneca.com.tr,other-http,HTTP 200,maybe
svndesertcommercial.com,timeout,"HTTPSConnectionPool(host='svndesertcommercial.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D1D8D50>, 'Connection to svndesertcommercial.com timed out. (connect timeout=8)'))",no
deswam.in,dns,"HTTPSConnectionPool(host='deswam.in', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D1D3C90>: Failed to resolve 'deswam.in' ([Errno 11001] getaddrinfo failed)""))",no
toyota-paris5.fr,connection-error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",no
toysrus.com.sa,ssl,"HTTPSConnectionPool(host='toysrus.com.sa', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'toysrus.com.sa'. (_ssl.c:992)"")))",no
toyotabatangas.com.ph,other-http,HTTP 200,maybe
plameco-huizen.nl,ssl,"HTTPSConnectionPool(host='plameco-huizen.nl', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'plameco-huizen.nl'. (_ssl.c:992)"")))",no
astrazeneca.ca,other-http,HTTP 200,maybe
mazdaofbedford.com,blocked-bot-waf,Cloudflare 403,yes
habitatbroward.org,other-http,HTTP 503,maybe
aon.lt,other-http,HTTP 200,maybe
kiaofmurfreesboro.com,other-http,HTTP 405,maybe
myplumberca.com,ssl,"HTTPSConnectionPool(host='myplumberca.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:992)')))",no
amnesty.org.ph,dns,"HTTPSConnectionPool(host='amnesty.org.ph', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D2781D0>: Failed to resolve 'amnesty.org.ph' ([Errno 11001] getaddrinfo failed)""))",no
toyota-givors.fr,connection-error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",no
franzcollection.com,ssl,"HTTPSConnectionPool(host='franzcollection.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
bigfootdigital.co.uk,other-http,HTTP 200,maybe
kiacoldlake.com,timeout,"HTTPSConnectionPool(host='kiacoldlake.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D1BA190>, 'Connection to kiacoldlake.com timed out. (connect timeout=8)'))",no
kiaofgrandblanc.com,ssl,"HTTPSConnectionPool(host='kiaofgrandblanc.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'kiaofgrandblanc.com'. (_ssl.c:992)"")))",no
azetsconsulting.no,other-http,HTTP 200,maybe
aireserv.ca,blocked-bot-waf,Cloudflare 403,yes
isover.co.kr,blocked-bot-waf,HTTP 403 Forbidden,yes
invisalign.co.kr,other-http,HTTP 200,maybe
biolchim.com.br,ssl,"HTTPSConnectionPool(host='biolchim.com.br', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
toysrus.de,other-http,HTTP 200,maybe
pussyspace.net,other-http,HTTP 200,maybe
aon.lv,other-http,HTTP 200,maybe
kiaofwestburlington.com,blocked-bot-waf,Cloudflare 403,yes
tbwazim.co.zw,other-http,HTTP 200,maybe
duracell.it,ssl,"HTTPSConnectionPool(host='duracell.it', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
ebay.com.tw,timeout,"HTTPSConnectionPool(host='ebay.com.tw', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D2495D0>, 'Connection to ebay.com.tw timed out. (connect timeout=8)'))",no
vedanta-zincinternational.com,ssl,"HTTPSConnectionPool(host='vedanta-zincinternational.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
scoutaerialafrica.com,other-http,HTTP 200,maybe
intersport.hr,timeout,"HTTPSConnectionPool(host='intersport.hr', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D279D90>, 'Connection to intersport.hr timed out. (connect timeout=8)'))",no
aspenpharma.es,ssl,"HTTPSConnectionPool(host='aspenpharma.es', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'aspenpharma.es'. (_ssl.c:992)"")))",no
tbwa.com.hk,other-http,HTTP 200,maybe
wurthcanarias.es,dns,"HTTPSConnectionPool(host='wurthcanarias.es', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D27B290>: Failed to resolve 'wurthcanarias.es' ([Errno 11001] getaddrinfo failed)""))",no
kiaoflumberton.com,other-http,HTTP 405,maybe
trulynolenrecife.com.br,other-http,HTTP 200,maybe
unicharm.co.in,timeout,"HTTPSConnectionPool(host='unicharm.co.in', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D253DD0>, 'Connection to unicharm.co.in timed out. (connect timeout=8)'))",no
pepsico.rs,blocked-bot-waf,robots noindex found,yes
worldvisionamericalatina.org,ssl,"HTTPSConnectionPool(host='worldvisionamericalatina.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
trulynolenpiaui.com.br,other-http,HTTP 200,maybe
travelocarbooking.com,dns,"HTTPSConnectionPool(host='travelocarbooking.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D24B010>: Failed to resolve 'travelocarbooking.com' ([Errno 11002] getaddrinfo failed)""))",no
mazdaofmilford.com,other-http,HTTP 405,maybe
toyotapasongtamo.com,ssl,"HTTPSConnectionPool(host='toyotapasongtamo.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
plameco.at,other-http,HTTP 200,maybe
rubiomonocoat.com.pl,ssl,"HTTPSConnectionPool(host='rubiomonocoat.com.pl', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'rubiomonocoat.com.pl'. (_ssl.c:992)"")))",no
isover.ie,blocked-bot-waf,HTTP 403 Forbidden,yes
ringcontainers.co.uk,other-http,HTTP 200,maybe
renaultpatria.com.mx,blocked-bot-waf,Cloudflare 403,yes
bluecardagency.ru,other-http,HTTP 200,maybe
pepsico.es,blocked-bot-waf,robots noindex found,yes
mazdademagog.com,other-http,HTTP 200,maybe
kiaofbillings.com,other-http,HTTP 405,maybe
reedglobal.com.tr,other-http,HTTP 200,maybe
nissanofthebronx.com,blocked-bot-waf,Cloudflare 403,yes
duracell.co.za,ssl,"HTTPSConnectionPool(host='duracell.co.za', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
crif.sk,timeout,"HTTPSConnectionPool(host='crif.sk', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002651D24BE50>, 'Connection to crif.sk timed out. (connect timeout=8)'))",no
santanderuniversidades.com.mx,timeout,"HTTPSConnectionPool(host='santanderuniversidades.com.mx', port=443): Read timed out. (read timeout=8)",no
hansa-flex.be,ssl,"HTTPSConnectionPool(host='hansa-flex.be', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'hansa-flex.be'. (_ssl.c:992)"")))",no
pepsico.co.it,blocked-bot-waf,robots noindex found,yes
sonepar.pe,dns,"HTTPSConnectionPool(host='sonepar.pe', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D1DA7D0>: Failed to resolve 'sonepar.pe' ([Errno 11001] getaddrinfo failed)""))",no
mazdadesherbrooke.com,other-http,HTTP 200,maybe
kiaofcoatesville.com,other-http,HTTP 405,maybe
astrazeneca.pt,other-http,HTTP 200,maybe
jdm.com.pe,other-http,HTTP 200,maybe
stanbicbank.co.ke,ssl,"HTTPSConnectionPool(host='stanbicbank.co.ke', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:992)')))",no
wurth.es,other-http,HTTP 405,maybe
mitsubishielevator.co.kr,dns,"HTTPSConnectionPool(host='mitsubishielevator.co.kr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D1F1BD0>: Failed to resolve 'mitsubishielevator.co.kr' ([Errno 11001] getaddrinfo failed)""))",no
mazdaoflodi.com,other-http,HTTP 405,maybe
kiaofmuncie.com,other-http,HTTP 405,maybe
amway.ca,other-http,HTTP 200,maybe
sonepar.hu,ssl,"HTTPSConnectionPool(host='sonepar.hu', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: TLSV1_UNRECOGNIZED_NAME] tlsv1 unrecognized name (_ssl.c:992)')))",no
avonworldwide.com,other-http,HTTP 200,maybe
starkey.com.co,ssl,"HTTPSConnectionPool(host='starkey.com.co', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
renaultdelsol.com.mx,blocked-bot-waf,Cloudflare 403,yes
adra.ca,other-http,HTTP 200,maybe
pamline.fr,blocked-bot-waf,HTTP 403 Forbidden,yes
veolia.co.uk,blocked-bot-waf,Cloudflare 403,yes
pepsico.ua,blocked-bot-waf,robots noindex found,yes
solatube.no,other-http,HTTP 200,maybe
tapflo.by,dns,"HTTPSConnectionPool(host='tapflo.by', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D27B7D0>: Failed to resolve 'tapflo.by' ([Errno 11001] getaddrinfo failed)""))",no
medef-htcis.com,ssl,"HTTPSConnectionPool(host='medef-htcis.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:992)')))",no
mitsubishielectric.com.cn,dns,"HTTPSConnectionPool(host='mitsubishielectric.com.cn', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D2508D0>: Failed to resolve 'mitsubishielectric.com.cn' ([Errno 11001] getaddrinfo failed)""))",no
kiaprimavera.com,ssl,"HTTPSConnectionPool(host='kiaprimavera.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'kiaprimavera.com'. (_ssl.c:992)"")))",no
pmcorp.mx,other-http,HTTP 200,maybe
pepsico.pt,blocked-bot-waf,robots noindex found,yes
indianmotorcycle.com.ar,timeout,"HTTPSConnectionPool(host='indianmotorcycle.com.ar', port=443): Read timed out. (read timeout=8)",no
manpowergroup.ch,dns,"HTTPSConnectionPool(host='manpowergroup.ch', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D241550>: Failed to resolve 'manpowergroup.ch' ([Errno 11001] getaddrinfo failed)""))",no
microbit.nl,ssl,"HTTPSConnectionPool(host='microbit.nl', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'microbit.nl'. (_ssl.c:992)"")))",no
thegoodlobby.fr,blocked-bot-waf,HTTP 403 Forbidden,yes
aiesec.org.rs,ssl,"HTTPSConnectionPool(host='aiesec.org.rs', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:992)')))",no
engie.com.au,blocked-bot-waf,HTTP 403 Forbidden,yes
pepsico.com.br,blocked-bot-waf,robots noindex found,yes
shimadzu.com.cn,dns,"HTTPSConnectionPool(host='shimadzu.com.cn', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D24B790>: Failed to resolve 'shimadzu.com.cn' ([Errno 11001] getaddrinfo failed)""))",no
altriusconsulting.com,blocked-bot-waf,robots noindex found,yes
shimadzu.co.kr,dns,"HTTPSConnectionPool(host='shimadzu.co.kr', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D27B0D0>: Failed to resolve 'shimadzu.co.kr' ([Errno 11001] getaddrinfo failed)""))",no
acuraoframsey.com,blocked-bot-waf,Cloudflare 403,yes
soneparusa.com,blocked-bot-waf,robots noindex found,yes
seiban.com,dns,"HTTPSConnectionPool(host='seiban.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002651D24B510>: Failed to resolve 'seiban.com' ([Errno 11001] getaddrinfo failed)""))",no
entergynewsroom.com,ssl,"HTTPSConnectionPool(host='entergynewsroom.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:992)')))",no
gs1tn.org,other-http,HTTP 200,maybe
entergy-nuclear.com,other-http,HTTP 200,maybe
mcdonalds-mcdelivery.es,blocked-bot-waf,Cloudflare 403,yes
savethechildren.org.uk,other-http,HTTP 200,maybe
overheaddoorsrichmond.com,redirect,HTML redirect/script,yes
toyota-magny.fr,connection-error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",no
